municipio,lideranca_principal,partido,grupo_politico,relacao_davi,peso_politico,status_articulacao,observacoes
Maceió,JHC,PL,Independente,adversario_potencial,muito_alto,mapear,"Capital do estado"
Arapiraca,Luciano Barbosa,MDB,Calheiros,aliado_forte,muito_alto,prioritario,"Segundo maior colégio eleitoral"
Rio Largo,Pedro Carlos da Silva Neto,MDB,Calheiros,aliado,alto,prioritario,"Região Metropolitana"
Palmeira dos Índios,Tia Júlia,MDB,Calheiros,aliado,alto,prioritario,"Agreste estratégico"
União dos Palmares,Júnior Menezes,MDB,Calheiros,aliado,alto,prioritario,"Zona da Mata"
Marechal Deodoro,André Bocão,MDB,Calheiros,aliado,alto,prioritario,"Região Metropolitana"
Penedo,Ronaldo Lopes,MDB,Calheiros,aliado,alto,prioritario,"Baixo São Francisco"
São Miguel dos Campos,George Clemente,MDB,Calheiros,aliado_forte,alto,prioritario,"Influência regional"
Coruripe,Marcelo Beltrão,PP,Independente,potencial_aliado,alto,aproximacao,"Liderança regional forte"
Delmiro Gouveia,Ziane Costa,MDB,Calheiros,aliado,alto,prioritario,"Principal cidade do Alto Sertão"
Santana do Ipanema,Eduardo Bulhões,MDB,Calheiros,aliado,medio,prioritario,"Bacia leiteira"
Atalaia,Cecília Herrmann,MDB,Calheiros,aliado,medio,prioritario,"Zona da Mata"
Teotônio Vilela,Pedro Pereira Filho,PP,Independente,potencial_aliado,medio,aproximacao,"Corredor Sul"
Pilar,Renato Filho,MDB,Calheiros,aliado_forte,alto,prioritario,"Polo industrial"
Girau do Ponciano,Davi Barros,PP,Independente,potencial_aliado,medio,aproximacao,"Agreste"
São Sebastião,Zé Pacheco,MDB,Calheiros,aliado,medio,prioritario,"Agreste"
Campo Alegre,Nicolas Pereira,PP,Independente,potencial_aliado,medio,aproximacao,"Sul do estado"
Maragogi,Dani Vasconcelos,PP,Independente,potencial_aliado,medio,aproximacao,"Litoral Norte"
São Luís do Quitunde,Márcia Cavalcante,MDB,Calheiros,aliado,medio,prioritario,"Litoral Norte"
São José da Tapera,Jarbas Ricardo,MDB,Calheiros,aliado,medio,prioritario,"Sertão"
