ordem_agenda,semana_sugerida,municipio,prioridade_sinergia_davi_gabi,status_agenda_conjunta,score_sinergia_davi_gabi,principal_lideranca,partido_principal_lideranca,prefeito_2024,partido_prefeito_2024,meta_votos_referencia_gabi,potencial_transferencia_10pct,acao_recomendada,formato_agenda_recomendada,justificativa_sinergia,responsavel_preparacao,contato_local,data_sugerida,status_execucao,observacao_politica
1,Semana 1,Maceió,Muito alta,Agenda conjunta prioritária,100.0,LUCIANO MARINHO,PL,JOAO HENRIQUE HOLANDA CALDAS,PL,14996,24122.0,Agendar visita conjunta Davi + Gabi,Maceió: agenda conjunta Davi + Gabi; com validação da liderança LUCIANO MARINHO; e leitura do grupo do prefeito JOAO HENRIQUE HOLANDA CALDAS.,"Maceió combina alta prioridade territorial, presença na base estratégica do Davi, rede local com 310 liderança(s) mapeada(s) e meta de referência de 14996 votos para Gabi. Score de sinergia: 100.00.",,,,A planejar,
2,Semana 1,Arapiraca,Monitoramento,Sem prioridade imediata,33.65,ROGERIO NEZINHO,MDB,JOSE LUCIANO BARBOSA DA SILVA,MDB,3812,7645.0,Monitorar,Arapiraca: monitoramento político; com validação da liderança ROGERIO NEZINHO; e leitura do grupo do prefeito JOSE LUCIANO BARBOSA DA SILVA.,"Arapiraca deve ser mantido em monitoramento até novas informações de apoio local, agenda ou aderência política. Score de sinergia: 33.65.",,,,A planejar,
3,Semana 1,Rio Largo,Monitoramento,Sem prioridade imediata,19.57,BALA SOARES,PP,PEDRO CARLOS DA SILVA NETO,PP,1561,2978.0,Monitorar,Rio Largo: monitoramento político; com validação da liderança BALA SOARES; e leitura do grupo do prefeito PEDRO CARLOS DA SILVA NETO.,"Rio Largo deve ser mantido em monitoramento até novas informações de apoio local, agenda ou aderência política. Score de sinergia: 19.57.",,,,A planejar,
4,Semana 1,Palmeira dos Índios,Monitoramento,Sem prioridade imediata,17.5,PEDRINHO GAIA,MDB,LUISA JULIA DUARTE,MDB,1234,2269.0,Monitorar,Palmeira dos Índios: monitoramento político; com validação da liderança PEDRINHO GAIA; e leitura do grupo do prefeito LUISA JULIA DUARTE.,"Palmeira dos Índios deve ser mantido em monitoramento até novas informações de apoio local, agenda ou aderência política. Score de sinergia: 17.50.",,,,A planejar,
5,Semana 1,União dos Palmares,Monitoramento,Sem prioridade imediata,16.78,MILTON DO COMPLEMENTAR,MDB,JOSÉ IRAN MENEZES DA SILVA JUNIOR,MDB,1101,2220.0,Monitorar,União dos Palmares: monitoramento político; com validação da liderança MILTON DO COMPLEMENTAR; e leitura do grupo do prefeito JOSÉ IRAN MENEZES DA SILVA JUNIOR.,"União dos Palmares deve ser mantido em monitoramento até novas informações de apoio local, agenda ou aderência política. Score de sinergia: 16.78.",,,,A planejar,
6,Semana 1,Marechal Deodoro,Monitoramento,Sem prioridade imediata,16.33,THIAGO GONDIN,PDT,ANDRÉ LUIZ BARROS DA SILVA,MDB,1037,1968.0,Monitorar,Marechal Deodoro: monitoramento político; com validação da liderança THIAGO GONDIN; e leitura do grupo do prefeito ANDRÉ LUIZ BARROS DA SILVA.,"Marechal Deodoro deve ser mantido em monitoramento até novas informações de apoio local, agenda ou aderência política. Score de sinergia: 16.33.",,,,A planejar,
7,Semana 1,São Miguel dos Campos,Monitoramento,Sem prioridade imediata,16.01,DINEY TORRES,MDB,GEORGE CLEMENTE VIEIRA,MDB,977,1960.0,Monitorar,São Miguel dos Campos: monitoramento político; com validação da liderança DINEY TORRES; e leitura do grupo do prefeito GEORGE CLEMENTE VIEIRA.,"São Miguel dos Campos deve ser mantido em monitoramento até novas informações de apoio local, agenda ou aderência política. Score de sinergia: 16.01.",,,,A planejar,
8,Semana 1,Coruripe,Monitoramento,Sem prioridade imediata,15.86,DALMO PORTO,PSB,MARCELO BELTRÃO SIQUEIRA,PP,945,1991.0,Monitorar,Coruripe: monitoramento político; com validação da liderança DALMO PORTO; e leitura do grupo do prefeito MARCELO BELTRÃO SIQUEIRA.,"Coruripe deve ser mantido em monitoramento até novas informações de apoio local, agenda ou aderência política. Score de sinergia: 15.86.",,,,A planejar,
9,Semana 2,Penedo,Monitoramento,Sem prioridade imediata,15.76,IVO COSTA,PV,RONALDO PEREIRA LOPES,MDB,967,1577.0,Monitorar,Penedo: monitoramento político; com validação da liderança IVO COSTA; e leitura do grupo do prefeito RONALDO PEREIRA LOPES.,"Penedo deve ser mantido em monitoramento até novas informações de apoio local, agenda ou aderência política. Score de sinergia: 15.76.",,,,A planejar,
10,Semana 2,Delmiro Gouveia,Monitoramento,Sem prioridade imediata,15.57,EDNA DO TATUAKARA,MDB,ELIZIANE FERREIRA COSTA LIMA,MDB,911,1761.0,Monitorar,Delmiro Gouveia: monitoramento político; com validação da liderança EDNA DO TATUAKARA; e leitura do grupo do prefeito ELIZIANE FERREIRA COSTA LIMA.,"Delmiro Gouveia deve ser mantido em monitoramento até novas informações de apoio local, agenda ou aderência política. Score de sinergia: 15.57.",,,,A planejar,
